gr,whois.ripe.net
grainger,whois.nic.grainger
graphics,whois.nic.graphics
gratis,whois.nic.gratis
green,whois.nic.green
gripe,whois.nic.gripe
gs,whois.nic.gs
gucci,whois.nic.gucci
guitars,whois.nic.guitars
guru,whois.nic.guru
gy,whois.registry.gy
haus,whois.nic.haus
hbo,whois.nic.hbo
health,whois.nic.health
hk,whois.hkdnr.net.hk
hm,webhost1.capital.hm
hn,whois2.afilias-grs.net
holdings,whois.nic.holdings
holiday,whois.nic.holiday
homegoods,whois.nic.homegoods
homesense,whois.nic.homesense
honeywell,whois.nic.honeywell
horse,whois.nic.horse
hot,whois.nic.hot
hoteles,whois.nic.hoteles
hotels,whois.nic.hotels
house,whois.nic.house
hr,whois.ripe.net
hsbc,whois.nic.hsbc
ht,whois.nic.ht
hu,whois.nic.hu
hyatt,whois.nic.hyatt
ibm,whois.nic.ibm
icu,whois.nic.icu
id,muara.idnic.net.id
ie,whois.domainregistry.ie
ieee,whois.nic.ieee
il,whois.isoc.org.il
im,whois.nic.im
imdb,whois.nic.imdb
immobilien,whois.nic.immobilien
in,whois.inregistry.net
industries,whois.nic.industries
info,whois.afilias.net
ink,whois.nic.ink
institute,whois.nic.institute
insure,whois.nic.insure
int,whois.iana.org
intel,whois.nic.intel
international,whois.nic.international
intuit,whois.nic.intuit
investments,whois.nic.investments
io,whois.nic.io
ipiranga,whois.nic.ipiranga
ir,whois.nic.ir
is,whois.isnic.is
iselect,whois.nic.iselect
it,whois.nic.it
itau,whois.nic.itau
iwc,whois.nic.iwc
je,whois.je
jetzt,whois.nic.jetzt
jlc,whois.nic.jlc
jmp,whois.nic.jmp
jnj,whois.nic.jnj
jo,whois.ripe.net
jobs,jobswhois.verisign-grs.com
joburg,whois.nic.joburg
jot,whois.nic.jot
joy,whois.nic.joy
jp,whois.jprs.jp
jpmorgan,whois.nic.jpmorgan
kaufen,whois.nic.kaufen
ke,whois.kenic.or.ke
kg,whois.domain.kg
ki,whois.nic.ki
kim,whois.nic.kim
kinder,whois.nic.kinder
kindle,whois.nic.kindle
kitchen,whois.nic.kitchen
kiwi,whois.nic.kiwi
koeln,whois.nic.koeln
kpmg,whois.nic.kpmg
kr,whois.krnic.net
krd,whois.nic.krd
kred,whois.nic.kred
la,whois.nic.la
land,whois.nic.land
lanxess,whois.nic.lanxess
latrobe,whois.nic.latrobe
law,whois.nic.law
lease,whois.nic.lease
lgbt,whois.nic.lgbt
li,whois.nic.ch
lifeinsurance,whois.nic.lifeinsurance
lighting,whois.nic.lighting
like,whois.nic.like
lilly,whois.nic.lilly
limited,whois.nic.limited
limo,whois.nic.limo
lincoln,whois.nic.lincoln
link,whois.nic.link
lk,arisen.nic.lk
llc,whois.nic.llc
loan,whois.nic.loan
loft,whois.nic.loft
london,whois.nic.london
lt,www.whois.lt
lu,whois.dns.lu
luxury,whois.nic.luxury
lv,whois.nic.lv
ly,whois.nic.ly
ma,whois.ripe.net
maison,whois.nic.maison
management,whois.nic.management
mango,whois.nic.mango
map,whois.nic.map
marketing,whois.nic.marketing
marshalls,whois.nic.marshalls
mattel,whois.nic.mattel
mc,whois.ripe.net
md,whois.nic.md
me,whois.nic.me
media,whois.nic.media
meet,whois.nic.meet
melbourne,whois.nic.melbourne
men,whois.nic.men
menu,whois.nic.menu
mg,whois.nic.mg
miami,whois.nic.miami
mil,is-1.nic.mil
mint,whois.nic.mint
mk,whois.ripe.net
ml,whois.dot.ml
mlb,whois.nic.mlb
mm,whois.nic.mm
mn,whois.afilias-grs.info
mobi,whois.dotmobiregistry.net
mobily,whois.nic.mobily
moda,whois.nic.moda
moe,whois.nic.moe
moi,whois.nic.moi
monash,whois.nic.monash
moscow,whois.nic.moscow
moto,whois.nic.moto
mp,whois.nic.mp
ms,whois.nic.ms
mt,whois.ripe.net
mtn,whois.nic.mtn
mu,whois.nic.mu
museum,whois.museum
mutual,whois.nic.mutual
mx,whois.nic.mx
my,whois.mynic.net.my
na,whois.na-nic.com.na
nagoya,whois.nic.nagoya
name,whois.nic.name
